Postcodes,WasteType,HeavyWaste,PlasterBoard,ToneBag,SelfDispose,SkipSize,BookingDay,Placement
W5J 1GU,Construction Waste,Yes,Yes,Yes,No,4,22,Private Property
Q8E 4WU,Construction Waste,Yes,Yes,Yes,No,6,25,Not sure
MI1 8IB,Construction Waste,Yes,Yes,Yes,No,5,24,Grass verge
R6 4DT,Construction Waste,Yes,Yes,Yes,No,4,23,Public Property
H7X 6TM,Construction Waste,Yes,Yes,Yes,No,5,26,Private Property
L9O 8EB,Construction Waste,Yes,Yes,Yes,No,5,27,Public Property
GF1 2WD,Construction Waste,Yes,Yes,Yes,No,5,28,Grass verge
ZB2P 0CC,Construction Waste,Yes,Yes,Yes,No,5,29,Not sure
M9 0GH,Construction Waste,Yes,Yes,Yes,No,6,20,Private Property
XM9 4ED,Construction Waste,Yes,Yes,Yes,No,6,19,Public Property
A7 8CX,Construction Waste,Yes,Yes,Yes,No,6,18,Grass verge
M5 3UE,Construction Waste,Yes,Yes,Yes,No,6,17,Not sure
CV8W 9RK,Construction Waste,Yes,Yes,Yes,No,8,16,Private Property
V2 7FX,Construction Waste,Yes,Yes,Yes,No,8,15,Public Property
A1O 1HC,Construction Waste,Yes,Yes,Yes,No,8,14,Grass verge
RE7 9QJ,Construction Waste,Yes,Yes,Yes,No,8,13,Not sure
V4U 7NK,Construction Waste,Yes,Yes,No,Yes,4,12,Private Property
F1 4JX,Construction Waste,Yes,Yes,No,Yes,4,11,Public Property
K7 7JT,Construction Waste,Yes,Yes,No,Yes,4,12,Grass verge
QJ1B 1TF,Construction Waste,Yes,Yes,No,Yes,4,10,Not sure
TP9 5LB,Construction Waste,Yes,Yes,No,Yes,5,9,Private Property
X8A 3LA,Construction Waste,Yes,Yes,No,Yes,5,8,Public Property
W9V 4EO,Construction Waste,Yes,Yes,No,Yes,5,7,Grass verge
L2S 5NL,Construction Waste,Yes,Yes,No,Yes,5,6,Not sure
ZR8 4WY,Construction Waste,Yes,Yes,No,Yes,6,5,Private Property
O7K 6AU,Construction Waste,Yes,Yes,No,Yes,6,6,Public Property
Y2N 8NC,Construction Waste,Yes,Yes,No,Yes,6,7,Grass verge
LH3V 9XL,Construction Waste,Yes,Yes,No,Yes,6,8,Not sure
W6 3RV,Construction Waste,Yes,Yes,No,Yes,8,22,Private Property
FQ6C 3XL,Construction Waste,Yes,Yes,No,Yes,8,23,Public Property
L9J 9OP,Construction Waste,Yes,Yes,No,Yes,8,24,Grass verge
F2 3VO,Construction Waste,Yes,Yes,No,Yes,8,25,Not sure
B2Y 3GN,Construction Waste,Yes,Yes,No,No,4,26,Private Property
U4O 8DL,Construction Waste,Yes,Yes,No,No,4,27,Public Property
YD7Z 8TM,Construction Waste,Yes,Yes,No,No,4,28,Grass verge
Q9I 2ZJ,Construction Waste,Yes,Yes,No,No,4,29,Not sure
M3 7KM,Construction Waste,Yes,Yes,No,No,5,20,Private Property
II1 3BD,Construction Waste,Yes,Yes,No,No,5,19,Public Property
I6H 8GL,Construction Waste,Yes,Yes,No,No,5,18,Grass verge
M4T 3LK,Construction Waste,Yes,Yes,No,No,5,17,Not sure
LQ5S 6VT,Construction Waste,Yes,Yes,No,No,6,16,Private Property
QU8 1YW,Construction Waste,Yes,Yes,No,No,6,15,Public Property
L3S 7XT,Construction Waste,Yes,Yes,No,No,6,14,Grass verge
FC4 7HV,Construction Waste,Yes,Yes,No,No,6,13,Not sure
E6D 2IV,Construction Waste,Yes,Yes,No,No,8,12,Private Property
NY4J 5WK,Construction Waste,Yes,Yes,No,No,8,11,Public Property
CC5 9MT,Construction Waste,Yes,Yes,No,No,8,12,Grass verge
XF6B 7SB,Construction Waste,Yes,Yes,No,No,8,10,Not sure
CG3 3DL,Construction Waste,Yes,No,No,No,4,9,Private Property
VR3S 6BF,Construction Waste,Yes,No,No,No,4,8,Public Property
EF9 0MM,Construction Waste,Yes,No,No,No,4,7,Grass verge
YB6B 4KO,Construction Waste,Yes,No,No,No,4,6,Not sure
HL3 9VH,Construction Waste,Yes,No,No,No,5,5,Private Property
DS7 6BG,Construction Waste,Yes,No,No,No,5,6,Public Property
XD4 0TP,Construction Waste,Yes,No,No,No,5,7,Grass verge
AG2N 1JK,Construction Waste,Yes,No,No,No,5,8,Not sure
B2J 8DF,Construction Waste,Yes,No,No,No,6,22,Private Property
H8G 4GE,Construction Waste,Yes,No,No,No,6,23,Public Property
JG6A 8EU,Construction Waste,Yes,No,No,No,6,24,Grass verge
P1Z 7GL,Construction Waste,Yes,No,No,No,6,25,Not sure
L2L 3EL,Construction Waste,Yes,No,No,No,8,26,Private Property
J3K 5XJ,Construction Waste,Yes,No,No,No,8,27,Public Property
I5 9NP,Construction Waste,Yes,No,No,No,8,28,Grass verge
XA8A 6MG,Construction Waste,Yes,No,No,No,8,29,Not sure
GC6Y 8MU,Construction Waste,No,Yes,Yes,No,4,20,Private Property
W2V 7MB,Construction Waste,No,Yes,Yes,No,4,19,Public Property
QA3R 7ZJ,Construction Waste,No,Yes,Yes,No,4,18,Grass verge
C5 9WV,Construction Waste,No,Yes,Yes,No,4,17,Not sure
F5 5LP,Construction Waste,No,Yes,Yes,No,5,16,Private Property
WZ8E 3DM,Construction Waste,No,Yes,Yes,No,5,15,Public Property
RF4 3LY,Construction Waste,No,Yes,Yes,No,5,14,Grass verge
QY8 9HU,Construction Waste,No,Yes,Yes,No,5,13,Not sure
O9 7GL,Construction Waste,No,Yes,Yes,No,6,12,Private Property
UE5Y 9SD,Construction Waste,No,Yes,Yes,No,6,11,Public Property
NN6K 0WL,Construction Waste,No,Yes,Yes,No,6,12,Grass verge
J2 0HJ,Construction Waste,No,Yes,Yes,No,6,10,Not sure
H6 2FF,Construction Waste,No,Yes,Yes,No,8,9,Private Property
V6L 8UP,Construction Waste,No,Yes,Yes,No,8,8,Public Property
TF9I 8HY,Construction Waste,No,Yes,Yes,No,8,7,Grass verge
D5W 5SU,Construction Waste,No,Yes,Yes,No,8,6,Not sure
Y2 8OV,Construction Waste,No,Yes,Yes,No,10,5,Private Property
UL8 8UK,Construction Waste,No,Yes,Yes,No,10,6,Public Property
W8 1HP,Construction Waste,No,Yes,Yes,No,10,7,Grass verge
A2 5JP,Construction Waste,No,Yes,Yes,No,10,8,Not sure
K7Z 9EF,Construction Waste,No,Yes,Yes,No,12,22,Private Property
Y9 3OC,Construction Waste,No,Yes,Yes,No,12,23,Public Property
U5 9DJ,Construction Waste,No,Yes,Yes,No,12,24,Grass verge
XA3 4UA,Construction Waste,No,Yes,Yes,No,12,25,Not sure
A8B 1XQ,Construction Waste,No,Yes,Yes,No,14,26,Private Property
Y1X 8CJ,Construction Waste,No,Yes,Yes,No,14,27,Public Property
KS1K 6PD,Construction Waste,No,Yes,Yes,No,14,28,Grass verge
KZ4B 2GV,Construction Waste,No,Yes,Yes,No,14,29,Not sure
XG5U 1DT,Construction Waste,No,Yes,Yes,No,16,20,Private Property
M2V 7JM,Construction Waste,No,Yes,Yes,No,16,19,Public Property
W1L 1PG,Construction Waste,No,Yes,Yes,No,16,18,Grass verge
L4 3NI,Construction Waste,No,Yes,Yes,No,16,17,Not sure
Q1D 4GM,Construction Waste,No,Yes,Yes,No,20,16,Private Property
LY6F 1NR,Construction Waste,No,Yes,Yes,No,20,15,Public Property
OZ2 5UQ,Construction Waste,No,Yes,Yes,No,20,14,Grass verge
X2M 4AZ,Construction Waste,No,Yes,Yes,No,20,13,Not sure
W5J 1GU,Construction Waste,No,Yes,Yes,No,40,12,Private Property
R6 4DT,Construction Waste,No,Yes,Yes,No,40,11,Public Property
MI1 8IB,Construction Waste,No,Yes,Yes,No,40,12,Grass verge
Q8E 4WU,Construction Waste,No,Yes,Yes,No,40,10,Not sure
H7X 6TM,Construction Waste,No,Yes,No,Yes,4,9,Private Property
L9O 8EB,Construction Waste,No,Yes,No,Yes,4,8,Public Property
GF1 2WD,Construction Waste,No,Yes,No,Yes,4,7,Grass verge
ZB2P 0CC,Construction Waste,No,Yes,No,Yes,4,6,Not sure
M9 0GH,Construction Waste,No,Yes,No,Yes,5,5,Private Property
XM9 4ED,Construction Waste,No,Yes,No,Yes,5,6,Public Property
