"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80249","Place order for postcode: H7X 6TM, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 5, Placement - Private Property","","Thu Oct 30 12:05:13 IST 2025","failed","Thu Oct 30 12:06:33 IST 2025","Place multiple orders","smoke.spec.js","",""
"","44359","Place order for postcode: MI1 8IB, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 4, Placement - Grass verge","","Thu Oct 30 12:03:47 IST 2025","passed","Thu Oct 30 12:04:31 IST 2025","Place multiple orders","smoke.spec.js","",""
"","41986","Place order for postcode: W5J 1GU, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 4, Placement - Private Property","","Thu Oct 30 12:02:08 IST 2025","passed","Thu Oct 30 12:02:50 IST 2025","Place multiple orders","smoke.spec.js","",""
"","42528","Place order for postcode: R6 4DT, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 4, Placement - Public Property","","Thu Oct 30 12:03:04 IST 2025","passed","Thu Oct 30 12:03:47 IST 2025","Place multiple orders","smoke.spec.js","",""
"","80241","Place order for postcode: ZB2P 0CC, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 5, Placement - Not sure","","Thu Oct 30 12:09:37 IST 2025","failed","Thu Oct 30 12:10:57 IST 2025","Place multiple orders","smoke.spec.js","",""
"","80238","Place order for postcode: GF1 2WD, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 5, Placement - Grass verge","","Thu Oct 30 12:08:06 IST 2025","failed","Thu Oct 30 12:09:26 IST 2025","Place multiple orders","smoke.spec.js","",""
"","80238","Place order for postcode: L9O 8EB, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 5, Placement - Public Property","","Thu Oct 30 12:06:34 IST 2025","failed","Thu Oct 30 12:07:54 IST 2025","Place multiple orders","smoke.spec.js","",""
"","41795","Place order for postcode: Q8E 4WU, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 4, Placement - Not sure","","Thu Oct 30 12:04:31 IST 2025","passed","Thu Oct 30 12:05:13 IST 2025","Place multiple orders","smoke.spec.js","",""
"","43250","Place order for postcode: XM9 4ED, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 6, Placement - Public Property","","Thu Oct 30 12:12:03 IST 2025","passed","Thu Oct 30 12:12:46 IST 2025","Place multiple orders","smoke.spec.js","",""
"","42462","Place order for postcode: M9 0GH, Waste Type: Construction Waste, Yes - Heavy Waste, Yes - Plasterboard, Skip size - 6, Placement - Private Property","","Thu Oct 30 12:11:09 IST 2025","passed","Thu Oct 30 12:11:51 IST 2025","Place multiple orders","smoke.spec.js","",""
